23.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs">Powerhouse Hobbs</a> defeats <a href="?id=2&amp;nr=452&amp;name=Christopher+Daniels">Christopher Daniels</a>
23.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=29&amp;nr=2663&amp;name=The+Dark+Order">The Dark Order</a> (<a href="?id=2&amp;nr=994&amp;name=Colt+Cabana">Colt Cabana</a>, <a href="?id=2&amp;nr=2397&amp;name=Evil+Uno">Evil Uno</a> &amp; <a href="?id=2&amp;nr=5424&amp;name=Stu+Grayson">Stu Grayson</a>) defeat <a href="?id=29&amp;nr=2913&amp;name=The+Wingmen+++">The Wingmen</a> (<a href="?id=2&amp;nr=16194&amp;name=Cezar+Bononi">Cezar Bononi</a>, <a href="?id=2&amp;nr=18677&amp;name=JD+Drake">JD Drake</a> &amp; <a href="?id=2&amp;nr=10239&amp;name=Ryan+Nemeth">Ryan Nemeth</a>)
23.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=19733&amp;name=Wheeler+Yuta">Wheeler Yuta</a> defeats <a href="?id=2&amp;nr=10297&amp;name=Serpentico">Serpentico</a>
23.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea|<a href="?id=5&amp;nr=4661">FTW Title</a>: |<a href="?id=2&amp;nr=14007&amp;name=Ricky+Starks">Ricky Starks</a> (c) defeats <a href="?id=2&amp;nr=3828&amp;name=Chuck+Taylor">Chuck Taylor</a>
22.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=22620&amp;name=Abadon++">Abadon</a> defeats <a href="?id=2&amp;nr=24343&amp;name=Ashley+D'Amboise">Ashley D'Amboise</a>
22.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=8047&amp;name=Angelico">Angelico</a> &amp; <a href="?id=2&amp;nr=18653&amp;name=Isiah+Kassidy">Isiah Kassidy</a> defeat <a href="?id=2&amp;nr=4823&amp;name=Brian+Cage">Brian Cage</a> &amp; <a href="?id=2&amp;nr=452&amp;name=Christopher+Daniels">Christopher Daniels</a>
22.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=3828&amp;name=Chuck+Taylor">Chuck Taylor</a>, <a href="?id=2&amp;nr=2813&amp;name=Orange+Cassidy">Orange Cassidy</a> &amp; <a href="?id=2&amp;nr=19733&amp;name=Wheeler+Yuta">Wheeler Yuta</a> defeat <a href="?id=29&amp;nr=2913&amp;name=The+Wingmen+++">The Wingmen</a> (<a href="?id=2&amp;nr=16194&amp;name=Cezar+Bononi">Cezar Bononi</a>, <a href="?id=2&amp;nr=18677&amp;name=JD+Drake">JD Drake</a> &amp; <a href="?id=2&amp;nr=8148&amp;name=Peter+Avalon">Peter Avalon</a>)
22.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=994&amp;name=Colt+Cabana">Colt Cabana</a> defeats <a href="?id=2&amp;nr=10239&amp;name=Ryan+Nemeth">Ryan Nemeth</a>
22.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=18784&amp;name=Jamie+Hayter">Jamie Hayter</a> defeats <a href="?id=2&amp;nr=20328&amp;name=Kris+Statlander">Kris Statlander</a>
22.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=29&amp;nr=2663&amp;name=The+Dark+Order">The Dark Order</a> (<a href="?id=2&amp;nr=2397&amp;name=Evil+Uno">Evil Uno</a> &amp; <a href="?id=2&amp;nr=5424&amp;name=Stu+Grayson">Stu Grayson</a>) defeat <a href="?id=28&amp;nr=9591&amp;name=Chaos+Project">Chaos Project</a> (<a href="?id=2&amp;nr=171&amp;name=Luther">Luther</a> &amp; <a href="?id=2&amp;nr=10297&amp;name=Serpentico">Serpentico</a>)
22.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=29&amp;nr=2808&amp;name=The+Gunn+Club+">The Gunn Club</a> (<a href="?id=2&amp;nr=20024&amp;name=Austin+Gunn">Austin Gunn</a>, <a href="?id=2&amp;nr=1081&amp;name=Billy+Gunn">Billy Gunn</a> &amp; <a href="?id=2&amp;nr=23125&amp;name=Colten+Gunn">Colten Gunn</a>) defeat <a href="?id=28&amp;nr=9961&amp;name=The+Sydal+Brothers">The Sydal Brothers</a> (<a href="?id=2&amp;nr=1065&amp;name=Matt+Sydal">Matt Sydal</a> &amp; <a href="?id=2&amp;nr=8265&amp;name=Mike+Sydal">Mike Sydal</a>) &amp; <a href="?id=2&amp;nr=892&amp;name=Frankie+Kazarian">Frankie Kazarian</a>
22.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea|<a href="?id=5&amp;nr=4661">FTW Title</a>: |<a href="?id=2&amp;nr=14007&amp;name=Ricky+Starks">Ricky Starks</a> (c) defeats <a href="?id=2&amp;nr=17540&amp;name=Sonny+Kiss">Sonny Kiss</a>
21.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=4823&amp;name=Brian+Cage">Brian Cage</a> defeats <a href="?id=2&amp;nr=8047&amp;name=Angelico">Angelico</a>
21.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=452&amp;name=Christopher+Daniels">Christopher Daniels</a> defeats <a href="?id=2&amp;nr=18653&amp;name=Isiah+Kassidy">Isiah Kassidy</a>
21.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=3828&amp;name=Chuck+Taylor">Chuck Taylor</a> &amp; <a href="?id=2&amp;nr=2813&amp;name=Orange+Cassidy">Orange Cassidy</a> defeat <a href="?id=29&amp;nr=2663&amp;name=Dark+Order">Dark Order</a> (<a href="?id=2&amp;nr=2397&amp;name=Evil+Uno">Evil Uno</a> &amp; <a href="?id=2&amp;nr=5424&amp;name=Stu+Grayson">Stu Grayson</a>)
21.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=994&amp;name=Colt+Cabana">Colt Cabana</a> defeats <a href="?id=2&amp;nr=18677&amp;name=JD+Drake">JD Drake</a>
21.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD">Dr. Britt Baker DMD</a> defeats <a href="?id=2&amp;nr=24343&amp;name=Ashley+D'Amboise">Ashley D'Amboise</a>
21.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=892&amp;name=Frankie+Kazarian">Frankie Kazarian</a> defeats <a href="?id=2&amp;nr=1081&amp;name=Billy+Gunn">Billy Gunn</a>
21.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=28&amp;nr=9961&amp;name=The+Sydal+Brothers">The Sydal Brothers</a> (<a href="?id=2&amp;nr=1065&amp;name=Matt+Sydal">Matt Sydal</a> &amp; <a href="?id=2&amp;nr=8265&amp;name=Mike+Sydal">Mike Sydal</a>) defeat <a href="?id=28&amp;nr=9591&amp;name=Chaos+Project">Chaos Project</a> (<a href="?id=2&amp;nr=171&amp;name=Luther">Luther</a> &amp; <a href="?id=2&amp;nr=10297&amp;name=Serpentico">Serpentico</a>)
21.10.2021|Chris Jericho's Rock 'N' Wrestling Rager At Sea||<a href="?id=2&amp;nr=19733&amp;name=Wheeler+Yuta">Wheeler Yuta</a> defeats <a href="?id=2&amp;nr=8148&amp;name=Peter+Avalon">Peter Avalon</a>
