date,promotion,match_type,match_card,match_event
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=5741&amp;name=Tony+Nese"">Tony Nese</a> defeats <a href=""?id=2&amp;nr=15307&amp;name=The+Steel+City+Brawler"">The Steel City Brawler</a> (2:51)","<a href=""?id=1&amp;nr=341282"">AEW Dark: Elevation #60</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,Coffin: ,"<a href=""?id=2&amp;nr=18849&amp;name=Darby+Allin"">Darby Allin</a> defeats <a href=""?id=2&amp;nr=5596&amp;name=Andrade+El+Idolo"">Andrade El Idolo</a> (12:25)","<a href=""?id=1&amp;nr=335555"">AEW Dynamite #133</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,Owen Hart Foundation Men's Tournament Qualifying: ,"<a href=""?id=2&amp;nr=4006&amp;name=Kyle+O'Reilly"">Kyle O'Reilly</a> defeats <a href=""?id=2&amp;nr=18237&amp;name=Jungle+Boy+"">Jungle Boy</a> (13:02)","<a href=""?id=1&amp;nr=335555"">AEW Dynamite #133</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,Owen Hart Foundation Women's Tournament Qualifying: ,"<a href=""?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD"">Dr. Britt Baker DMD</a> defeats <a href=""?id=2&amp;nr=18270&amp;name=Danielle+Kamela"">Danielle Kamela</a> (6:16)","<a href=""?id=1&amp;nr=335555"">AEW Dynamite #133</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,"<a href=""?id=5&amp;nr=5224"">AEW TBS Title</a>: ","<a href=""?id=2&amp;nr=23445&amp;name=Jade+Cargill"">Jade Cargill</a> (c) defeats <a href=""?id=2&amp;nr=20335&amp;name=Marina+Shafir"">Marina Shafir</a> (11:41)","<a href=""?id=1&amp;nr=336638"">AEW Rampage #38</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,Owen Hart Foundation Men's Tournament Qualifying: ,"<a href=""?id=2&amp;nr=7142&amp;name=Adam+Cole"">Adam Cole</a> defeats <a href=""?id=2&amp;nr=1210&amp;name=Tomohiro+Ishii"">Tomohiro Ishii</a> (11:14)","<a href=""?id=1&amp;nr=336638"">AEW Rampage #38</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=29&amp;nr=3139&amp;name=Blackpool+Combat+Club"">Blackpool Combat Club</a> (<a href=""?id=2&amp;nr=86&amp;name=Bryan+Danielson"">Bryan Danielson</a>, <a href=""?id=2&amp;nr=3940&amp;name=Jon+Moxley"">Jon Moxley</a> &amp; <a href=""?id=2&amp;nr=19733&amp;name=Wheeler+Yuta"">Wheeler Yuta</a>) defeat <a href=""?id=29&amp;nr=2808&amp;name=The+Gunn+Club+"">The Gunn Club</a> (<a href=""?id=2&amp;nr=20024&amp;name=Austin+Gunn"">Austin Gunn</a>, <a href=""?id=2&amp;nr=1081&amp;name=Billy+Gunn"">Billy Gunn</a> &amp; <a href=""?id=2&amp;nr=23125&amp;name=Colten+Gunn"">Colten Gunn</a>) (9:06)","<a href=""?id=1&amp;nr=336560"">AEW Rampage #37</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=21060&amp;name=The+Butcher+++++"">The Butcher</a> defeats <a href=""?id=2&amp;nr=10412&amp;name=Barrett+Brown"">Barrett Brown</a> (0:55)","<a href=""?id=1&amp;nr=336560"">AEW Rampage #37</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=18270&amp;name=Danielle+Kamela"">Danielle Kamela</a> defeats <a href=""?id=2&amp;nr=22858&amp;name=Rache+Chanel"">Rache Chanel</a> (2:10)","<a href=""?id=1&amp;nr=340687"">AEW Dark #139</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=13732&amp;name=Keith+Lee"">Keith Lee</a> &amp; <a href=""?id=2&amp;nr=12703&amp;name=Swerve+Strickland"">Swerve Strickland</a> defeat <a href=""?id=29&amp;nr=2915&amp;name=The+Factory++"">The Factory</a> (<a href=""?id=2&amp;nr=9087&amp;name=Aaron+Solo"">Aaron Solo</a> &amp; <a href=""?id=2&amp;nr=18841&amp;name=Nick+Comoroto"">Nick Comoroto</a>) (8:40)","<a href=""?id=1&amp;nr=340687"">AEW Dark #139</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=20335&amp;name=Marina+Shafir"">Marina Shafir</a> defeats <a href=""?id=2&amp;nr=23564&amp;name=Alejandra+Lion"">Alejandra Lion</a> (2:00)","<a href=""?id=1&amp;nr=340687"">AEW Dark #139</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=29&amp;nr=2776&amp;name=Team+Taz"">Team Taz</a> (<a href=""?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs"">Powerhouse Hobbs</a> &amp; <a href=""?id=2&amp;nr=14007&amp;name=Ricky+Starks"">Ricky Starks</a>) defeat <a href=""?id=29&amp;nr=2663&amp;name=The+Dark+Order"">The Dark Order</a> (<a href=""?id=2&amp;nr=2397&amp;name=Evil+Uno"">Evil Uno</a> &amp; <a href=""?id=2&amp;nr=5424&amp;name=Stu+Grayson"">Stu Grayson</a>) (8:48)","<a href=""?id=1&amp;nr=340687"">AEW Dark #139</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=15978&amp;name=Toni+Storm"">Toni Storm</a> defeats Gigi Rey (3:10)","<a href=""?id=1&amp;nr=340687"">AEW Dark #139</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=5741&amp;name=Tony+Nese"">Tony Nese</a> defeats <a href=""?id=2&amp;nr=9250&amp;name=JD+Griffey"">JD Griffey</a> (1:54)","<a href=""?id=1&amp;nr=340687"">AEW Dark #139</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
