date,promotion,match_type,match_card,match_event
2021-05-30,All Elite Wrestling,"<a href=""?id=5&amp;nr=4392"">AEW World Tag Team Title</a>: ","<a href=""?id=28&amp;nr=1030&amp;name=The+Young+Bucks"">The Young Bucks</a> (<a href=""?id=2&amp;nr=4739&amp;name=Matt+Jackson"">Matt Jackson</a> &amp; <a href=""?id=2&amp;nr=4740&amp;name=Nick+Jackson"">Nick Jackson</a>) (c) defeat <a href=""?id=2&amp;nr=902&amp;name=Eddie+Kingston"">Eddie Kingston</a> &amp; <a href=""?id=2&amp;nr=3940&amp;name=Jon+Moxley"">Jon Moxley</a> (21:09)","<a href=""?id=1&amp;nr=255225"">AEW Double Or Nothing 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-05-30,All Elite Wrestling,"<a href=""?id=5&amp;nr=4331"">AEW World Title</a> Three Way: ","<a href=""?id=2&amp;nr=2906&amp;name=Kenny+Omega"">Kenny Omega</a> (c) defeats <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> and <a href=""?id=2&amp;nr=3497&amp;name=PAC"">PAC</a> (27:10)","<a href=""?id=1&amp;nr=255225"">AEW Double Or Nothing 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-05-30,All Elite Wrestling,Casino Battle Royale: ,"<a href=""?id=2&amp;nr=18237&amp;name=Jungle+Boy+"">Jungle Boy</a> defeats <a href=""?id=2&amp;nr=9087&amp;name=Aaron+Solow"">Aaron Solow</a> and <a href=""?id=2&amp;nr=14810&amp;name=Anthony+Bowens"">Anthony Bowens</a> and <a href=""?id=2&amp;nr=20065&amp;name=Brian+Pillman+Jr."">Brian Pillman Jr.</a> and <a href=""?id=2&amp;nr=820&amp;name=Christian+Cage"">Christian Cage</a> and <a href=""?id=2&amp;nr=994&amp;name=Colt+Cabana"">Colt Cabana</a> and <a href=""?id=2&amp;nr=917&amp;name=Dustin+Rhodes"">Dustin Rhodes</a> and <a href=""?id=2&amp;nr=2397&amp;name=Evil+Uno"">Evil Uno</a> and <a href=""?id=2&amp;nr=18858&amp;name=Griff+Garrison"">Griff Garrison</a> and <a href=""?id=2&amp;nr=18653&amp;name=Isiah+Kassidy"">Isiah Kassidy</a> and <a href=""?id=2&amp;nr=22366&amp;name=Lee+Johnson"">Lee Johnson</a> and <a href=""?id=2&amp;nr=16322&amp;name=Lio+Rush"">Lio Rush</a> and <a href=""?id=2&amp;nr=15417&amp;name=Marq+Quen"">Marq Quen</a> and <a href=""?id=2&amp;nr=99&amp;name=Matt+Hardy"">Matt Hardy</a> and <a href=""?id=2&amp;nr=1065&amp;name=Matt+Sydal"">Matt Sydal</a> and <a href=""?id=2&amp;nr=19761&amp;name=Max+Caster"">Max Caster</a> and <a href=""?id=2&amp;nr=18841&amp;name=Nick+Comoroto"">Nick Comoroto</a> and <a href=""?id=2&amp;nr=10334&amp;name=Penta+El+Zero+Miedo"">Penta El Zero Miedo</a> and <a href=""?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs"">Powerhouse Hobbs</a> and <a href=""?id=2&amp;nr=10297&amp;name=Serpentico"">Serpentico</a> and <a href=""?id=2&amp;nr=20399&amp;name=Ten"">Ten</a> (23:29)","<a href=""?id=1&amp;nr=255225"">AEW Double Or Nothing 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-05-30,All Elite Wrestling,Stadium Stampede: ,"<a href=""?id=29&amp;nr=2569&amp;name=The+Inner+Circle"">The Inner Circle</a> (<a href=""?id=2&amp;nr=758&amp;name=Chris+Jericho"">Chris Jericho</a>, <a href=""?id=2&amp;nr=4071&amp;name=Jake+Hager"">Jake Hager</a>, <a href=""?id=2&amp;nr=12893&amp;name=Ortiz+"">Ortiz</a>, <a href=""?id=2&amp;nr=15284&amp;name=Sammy+Guevara"">Sammy Guevara</a> &amp; <a href=""?id=2&amp;nr=15052&amp;name=Santana+++"">Santana</a>) defeat <a href=""?id=29&amp;nr=2902&amp;name=The+Pinnacle"">The Pinnacle</a> (<a href=""?id=2&amp;nr=7159&amp;name=Cash+Wheeler"">Cash Wheeler</a>, <a href=""?id=2&amp;nr=12068&amp;name=Dax+Harwood"">Dax Harwood</a>, <a href=""?id=2&amp;nr=17012&amp;name=MJF"">MJF</a>, <a href=""?id=2&amp;nr=3190&amp;name=Shawn+Spears"">Shawn Spears</a> &amp; <a href=""?id=2&amp;nr=16006&amp;name=Wardlow"">Wardlow</a>) (32:26)","<a href=""?id=1&amp;nr=255225"">AEW Double Or Nothing 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-03-07,All Elite Wrestling,,"<a href=""?id=2&amp;nr=14266&amp;name=Kip+Sabian"">Kip Sabian</a> &amp; <a href=""?id=2&amp;nr=10610&amp;name=Miro"">Miro</a> defeat <a href=""?id=2&amp;nr=3828&amp;name=Chuck+Taylor"">Chuck Taylor</a> &amp; <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> (7:51)","<a href=""?id=1&amp;nr=296143"">AEW Revolution 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-03-07,All Elite Wrestling,"<a href=""?id=5&amp;nr=4578"">AEW TNT Title</a> #1 Contendership Face Of The Revolution Ladder: ","<a href=""?id=2&amp;nr=293&amp;name=Scorpio+Sky"">Scorpio Sky</a> defeats <a href=""?id=2&amp;nr=3686&amp;name=Cody+Rhodes"">Cody Rhodes</a> and <a href=""?id=2&amp;nr=7216&amp;name=Ethan+Page"">Ethan Page</a> and <a href=""?id=2&amp;nr=1062&amp;name=Lance+Archer"">Lance Archer</a> and <a href=""?id=2&amp;nr=19761&amp;name=Max+Caster"">Max Caster</a> and <a href=""?id=2&amp;nr=10334&amp;name=Penta+El+Zero+Miedo"">Penta El Zero Miedo</a> (23:07)","<a href=""?id=1&amp;nr=296143"">AEW Revolution 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-03-07,All Elite Wrestling,"<a href=""?id=5&amp;nr=4370"">AEW Women's World Title</a>: ","<a href=""?id=2&amp;nr=9462&amp;name=Hikaru+Shida"">Hikaru Shida</a> (c) defeats <a href=""?id=2&amp;nr=8562&amp;name=Ryo+Mizunami"">Ryo Mizunami</a> (15:06)","<a href=""?id=1&amp;nr=296143"">AEW Revolution 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-03-07,All Elite Wrestling,"<a href=""?id=5&amp;nr=4392"">AEW World Tag Team Title</a>: ","<a href=""?id=28&amp;nr=1030&amp;name=The+Young+Bucks"">The Young Bucks</a> (<a href=""?id=2&amp;nr=4739&amp;name=Matt+Jackson"">Matt Jackson</a> &amp; <a href=""?id=2&amp;nr=4740&amp;name=Nick+Jackson"">Nick Jackson</a>) (c) defeat <a href=""?id=29&amp;nr=2569&amp;name=The+Inner+Circle"">The Inner Circle</a> (<a href=""?id=2&amp;nr=758&amp;name=Chris+Jericho"">Chris Jericho</a> &amp; <a href=""?id=2&amp;nr=17012&amp;name=MJF"">MJF</a>) (17:49)","<a href=""?id=1&amp;nr=296143"">AEW Revolution 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-03-07,All Elite Wrestling,"<a href=""?id=5&amp;nr=4331"">AEW World Title</a> Exploding Barbed Wire Death: ","<a href=""?id=2&amp;nr=2906&amp;name=Kenny+Omega"">Kenny Omega</a> (c) defeats <a href=""?id=2&amp;nr=3940&amp;name=Jon+Moxley"">Jon Moxley</a> (25:11)","<a href=""?id=1&amp;nr=296143"">AEW Revolution 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
2021-03-07,All Elite Wrestling,Big Money: ,"<a href=""?id=2&amp;nr=11161&amp;name=Adam+Page"">Adam Page</a> defeats <a href=""?id=2&amp;nr=99&amp;name=Matt+Hardy"">Matt Hardy</a> (14:57)","<a href=""?id=1&amp;nr=296143"">AEW Revolution 2021</a> - Pay Per View @ Daily's Place in Jacksonville, Florida, USA"
