,date,promotion,draw,winners,winning_teams,losers,losing_teams,drawers,drawing_teams,length,location,show,gender
113,2021-09-15,All Elite Wrestling,False,"Penta El Zero Miedo,Rey Fenix",The Lucha Brothers,"The Blade,The Butcher",The Butcher And The Blade,,,578,"Prudential Center in Newark, New Jersey, USA",AEW Rampage #6,male
114,2021-09-08,All Elite Wrestling,False,Andrade El Idolo,,PAC,,,,942,"Fifth Third Arena in Cincinnati, Ohio, USA",AEW Rampage #5,male
115,2021-09-08,All Elite Wrestling,False,Brian Pillman Jr.,,Max Caster,,,,402,"Fifth Third Arena in Cincinnati, Ohio, USA",AEW Rampage #5,male
116,2021-09-08,All Elite Wrestling,False,"Kris Statlander,Riho,Ruby Soho",,"Dr. Britt Baker DMD,Jamie Hayter,Rebel",,,,567,"Fifth Third Arena in Cincinnati, Ohio, USA",AEW Rampage #5,female
117,2021-09-03,All Elite Wrestling,False,Darby Allin,,Daniel Garcia,,,,648,"NOW Arena in Hoffman Estates, Illinois, USA",AEW Rampage #4,male
118,2021-09-03,All Elite Wrestling,False,Malakai Black,,Lee Johnson,,,,596,"NOW Arena in Hoffman Estates, Illinois, USA",AEW Rampage #4,male
119,2021-09-03,All Elite Wrestling,False,Kris Statlander,,"Jamie Hayter,Rebel",,,,251,"NOW Arena in Hoffman Estates, Illinois, USA",AEW Rampage #4,female
120,2021-08-25,All Elite Wrestling,False,"Christian Cage,Frankie Kazarian",,"Brandon Cutler,Kenny Omega",,,,507,"UW-Milwaukee Panther Arena in Milwaukee, Wisconsin, USA",AEW Rampage #3,male
121,2021-08-25,All Elite Wrestling,False,The Bunny,,Tay Conti,,,,273,"UW-Milwaukee Panther Arena in Milwaukee, Wisconsin, USA",AEW Rampage #3,female
122,2021-08-25,All Elite Wrestling,False,"Penta El Zero Miedo,Rey Fenix",The Lucha Brothers,"Jungle Boy,Luchasaurus",The Jurassic Express,,,735,"UW-Milwaukee Panther Arena in Milwaukee, Wisconsin, USA",AEW Rampage #3,male
123,2021-08-20,All Elite Wrestling,False,Jade Cargill,,Kiera Hogan,,,,65,"United Center in Chicago, Illinois, USA",AEW Rampage #2 - The First Dance,female
124,2021-08-20,All Elite Wrestling,False,Jon Moxley,,Daniel Garcia,,,,248,"United Center in Chicago, Illinois, USA",AEW Rampage #2 - The First Dance,male
125,2021-08-20,All Elite Wrestling,False,"Jungle Boy,Luchasaurus",The Jurassic Express,"Isiah Kassidy,Marq Quen",Private Party,,,613,"United Center in Chicago, Illinois, USA",AEW Rampage #2 - The First Dance,male
126,2021-08-13,All Elite Wrestling,False,Miro,,Fuego Del Sol,,,,119,"Petersen Events Center in Pittsburgh, Pennsylvania, USA",AEW Rampage #1,male
127,2021-08-13,All Elite Wrestling,False,Dr. Britt Baker DMD,,Red Velvet,,,,635,"Petersen Events Center in Pittsburgh, Pennsylvania, USA",AEW Rampage #1,female
128,2021-08-13,All Elite Wrestling,False,Christian Cage,,Kenny Omega,,,,928,"Petersen Events Center in Pittsburgh, Pennsylvania, USA",AEW Rampage #1,male
