id,name,rating,current_gimmick,age,promotion,brand,active_roles,birthplace,gender,height,weight,www,alter_egos,roles,debut,experience,wrestling_style,nicknames,signature_moves,trainer,background,career_end,day_of_death,active
4103,Chris Cronus,,Chris Cronus,,Freelancer,,Singles Wrestler,"Lorain, Ohio, USA",male,,,,"Chris Cronus,Cronus",Singles Wrestler,,,,,,JT Lightning,,,,False
1192,Rod Steele,,,,,,,"Seymour, Indiana, USA",male,78.0,271.0,,Rod Steele,Singles Wrestler,1989,22.0,Brawler,The Real Deal,,Rip Rogers,,,04.08.2011,False
5328,Spiro,,,,,,,"San Antonio, Texas, USA",male,69.0,,,"Cameron Bates,Spiro,Thor",Singles Wrestler,,,Powerhouse,The Classic Superstar,Piledriver,Shawn Michaels,,01.12.2011,01.12.2011,False
357,Nicky Benz,4.77,Nicky Benz,42.0,Freelancer,,"Singles Wrestler,Trainer","Philadelphia, Pennsylvania, USA",male,70.0,198.0,http://www.myspace.com/nickberk,"Nick Berk,Nicky Benz","Singles Wrestler,Trainer",16.03.1997,25.0,Allrounder,"Softcore,The Midnight Idol","Berk Driver,Berkacet","Don Montoya, Mike Kehner & Reckless Youth",,,,False
4333,Preston James,,,,,,,"Fort Myers, Florida, USA",male,73.0,216.0,http://www.myspace.com/prestonjamesiii,"GQ Savagewood,Preston James","Singles Wrestler,Tag Team Wrestler",,,Techniker,,,Alex G,,2010,,False
4334,Scott Commodity,,,,,,,"Boca Raton, Florida, USA",male,73.0,207.0,,"Scott Commodity,Scottie P,Scott Papper","Singles Wrestler,Tag Team Wrestler",,,Techniker,,,,,,,False
4419,Prince Malik,,,,,,,"Alexandria, Virgina, USA",male,69.0,180.0,http://www.myspace.com/malik703,"Prince Malik,Malik Yamah",Singles Wrestler,,,,,,,,27.04.2012,28.04.2012,False
1773,John McChesney,5.67,John McChesney,,Freelancer,,Singles Wrestler,"Erie, Pennsylvania, USA",male,70.0,169.0,https://twitter.com/BigLeagueJMcC,"Fabulous,John McChesney,Matt McChesney,Richard Weede",Singles Wrestler,,,Techniker,"Big League,Erie's Own,Fabulous","TKO,Superkick,Electric Chair,Ace Crusher,Cliff Hanger,Missile Dropkick",J-Rocc,,,,False
8065,Danger  ,,Danger,47.0,Freelancer,,"Singles Wrestler,Tag Team Wrestler","New York City, New York, USA",male,77.0,297.0,,"Danger,Dave Danger,Dangerman,Vin Danger,Dave DeGeorge,Dave DeJohn","Singles Wrestler,Tag Team Wrestler",22.06.1996,25.0,Powerhouse,"Albino Rhino,One-Ton Human Wrecking Machine,The Largest Man On The Planet",Suffocation Devastation,Dory Funk Jr.,,,,False
986,Jeff Starr,,Jeff Starr,40.0,Freelancer,,Singles Wrestler,"Albany, New York, USA",male,74.0,209.0,,Jeff Starr,Singles Wrestler,02.1999,23.0,Techniker,"Mr. Spotlight,The Hollywood Cowboy",Helicopter Splash,,,,,False
2379,Tim Arson,,,,,,,"New York City, New York, USA",male,73.0,242.0,https://twitter.com/TimArson;https://www.facebook.com/OfficialTimArson;https://myspace.com/worldchamparson,"Afterburn,Tim Arson,Zombie",Singles Wrestler,2001,14.0,,"El Piromaniaco,The Arsonist",Five Alarm Backdraft,Johnny Rodz,,,07.01.2015,False
2318,Big Guido,2.7,,,,,,"Brentwood, New York, USA",male,80.0,350.0,http://mikeiorio.com/,"Big Guido,Big Gun,Iorio Carnera,Mike Conero,Mike Fury,Mike Iorio,Primo Carnera,Primo Carnera III,Primo Carnera Jr.,Primo Carnero","Singles Wrestler,Tag Team Wrestler",1984,38.0,"Brawler,Powerhouse",,Chokeslam,,,,,False
1775,Sebastian,,Sebastian,,Freelancer,,Singles Wrestler,"Clearfield, Pennsylvania, USA",male,72.0,216.0,,"Jonathan McCulley,Sebastian,Sebaso",Singles Wrestler,,,"Techniker,High Flyer",,"450° Splash,Side Effect,Split-Legged Moonsault","Kasanova Kato, Julio Dinero, Chris Hamrick & Tom Prichard",,,,False
4832,Seth James,,,,,,,"Butler, Pennsylvania, USA",male,73.0,251.0,https://www.facebook.com/seth.mitnik,Seth James,Singles Wrestler,08.05.1998,11.0,,Big Stiff,,TC Reynolds,,01.2010,,False
2727,Jon Bolen,,Jon Bolen,,Freelancer,,"Singles Wrestler,Tag Team Wrestler","Uniontown, Pennsylvania, USA",male,71.0,231.0,,"Jon Bolen,War Child","Singles Wrestler,Tag Team Wrestler",16.10.2004,17.0,Powerhouse,Wrecking Ball,"The Meltdown,Running Powerslam,Standing Moonsault",Scott D'Amore,Bodybuilding,,,False
386,Wavell Starr,,Wavell Starr,48.0,Freelancer,,"Singles Wrestler,WWE Development Wrestler","Prince Albert, Saskatchewan, Canada",male,72.0,235.0,http://www.facebook.com/wavellstarr;http://twitter.com/wavellstarr;http://www.facebook.com/TheWavellStarrShow;https://www.instagram.com/wavellstarr,"Donnie Mack,Renegade Warrior,Standing Thunder,Sitar Singh,Wavell Starr","Singles Wrestler,WWE Development Wrestler",30.10.1997,24.0,"Allrounder,Powerhouse","First Nation Sensation,Renegade Warrior",Thunderclap,Bruce Hart & Keith Hart,,,,False
3958,Shawn Osbourne,,,,,,,"Phoenix, Arizona, USA",male,73.0,231.0,,"Number One,Shawn Osbourne","Singles Wrestler,WWE Development Wrestler",08.05.2003,8.0,Techniker,Bad Seed,"Bad Seed Slam,Black Drop",Les Thatcher & Cody Hawk,,2011,26.01.2011,False
2411,Hannibal,3.11,Hannibal,39.0,Freelancer,,"Singles Wrestler,Promoter","Ottawa, Ontario, Canada",male,77.0,286.0,http://www.youtube.com/channel/UC611FnbjRgbpBA8tg22eWGw;https://www.youtube.com/channel/UCcpWZrbYzye7-FY4i1ALfVw;https://twitter.com/DevonHannibal;https://www.facebook.com/DevonNicholsonsFightAgainstHepatitisC,"Adam Lust,Blood Hunter,Devon Nicholson,El Cazador De Sangre,Hannibal,Kid Nichols","Singles Wrestler,Promoter",2001,21.0,Allrounder,,The Claw,Bruce Hart & Jacques Rougeau,Ringen,,,False
603,Cheerleader Melissa,8.64,Cheerleader Melissa,39.0,Freelancer,,"Singles Wrestler,Tag Team Wrestler","Los Angeles, California, USA",female,68.0,143.0,http://twitter.com/FutureLegendCF;https://www.facebook.com/CheerleaderMelissa;https://www.instagram.com/realfuturelegend/,"Alissa Flash,Alyssa Flash,Cheerleader Melissa,Melissa Anderson,Melissa,Felony,Malicia,Mariposa,Miss Spartan,Raisha Saeed,Wildfire","Singles Wrestler,Tag Team Wrestler",17.08.1999,22.0,Techniker,The Future Legend,"Air Raid Crash,Curb Stomp,Butterfly Effect","Bryan Danielson, Christopher Daniels & Robert Thompson",Ringen,,,False
11401,Kris Katera,,,,,,,"Hallsville, Texas, USA",male,67.0,,http://www.myspace.com/kriskatera,"Chris Wellman,Kris Katera",Singles Wrestler,,,,,,,,,,False
251,Babi Slymm,3.38,,,,,,"San Diego, California, USA",male,74.0,286.0,https://myspace.com/gangstabosskig;https://www.facebook.com/tony.drake.737;https://www.facebook.com/babi.slymm,"Babi Slymm,Slymm,Bigg Tony,Cyber Gang,Killa Kain,Muscle Gang,Saleem Jihad,Tony Drake",Singles Wrestler,,,Techniker,"Bigg,King of Bling","Number 1 Stunna,Birdman,Brian Gumble Suplex","Adam Pearce, Luther Reigns, B-Boy & Joe Romano",,,,False
3602,"BHK, Kevin Martenson",6.91,"BHK, Kevin Martenson",40.0,Freelancer,,"Singles Wrestler,Tag Team Wrestler,Trainer","Clarks Summit, Pennsylvania, USA",male,71.0,187.0,https://www.facebook.com/kevin.martenson;http://www.myspace.com/drmichaelianblack,"Johnny Goodtime,Kevin Martenson,BHK,Randy Rocket,Son Of Madness","Singles Wrestler,Tag Team Wrestler,Trainer",,,"Techniker,High Flyer",Rockin',Mushroom Stomp,"Tom Howard, Shane Ballard, Shannon Ballard & UPW Wrestling School",,,,False
