date,promotion,event_type,arena,location,event_name,event_id,match_type,match_length,participant_count,title_ids,title_names,title_change,winner_ids,winner_names,winning_team_ids,winning_team_names,loser_ids,loser_names,losing_team_ids,losing_team_names,drawer_ids,drawer_names,drawing_team_ids,drawing_team_names,gender
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,19761,Max Caster,,,-1,Tyler Uriah,,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,22620,Abadon,,,-1,Vicky Dreamboat,,,,,,,female
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,10,,,False,"21554,19930,19585,23592,19680","Alex Coughlin,Clark Connors,Karl Fredericks,Kevin Knight,Yuya Uemura",,,"9087,18841,7870,-1,-1","Aaron Solo,Nick Comoroto,QT Marshall,Blake Li,Brick Aldridge",2915,The Factory,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,4,,,False,"2245,2243","Angelo Parker,Matt Menard",3128,The Jericho Appreciation Society,"-1,20547","Cooper,Eli Isom",,,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,4,,,False,"19259,20207","Bear Boulder,Bear Bronson",8158,Bear Country,"8745,18677","Anthony Henry,JD Drake",7831,The WorkHorsemen,,,,,male
2022-05-01,All Elite Wrestling,Event,Universal Studios,"Orlando, Florida, USA",AEW Dark TV Tapings,342179,,,2,,,False,4629,Emi Sakura,,,24991,Devlyn Macabre,,,,,,,female
2022-04-27,All Elite Wrestling,TV-Show,Liacouras Center,"Philadelphia, Pennsylvania, USA",AEW Dark: Elevation #61,341850,12 Man,,12,,,False,"20186,6215,994,2397,6959,20399","Alan Angels,Alex Reynolds,Colt Cabana,Evil Uno,John Silver,Ten",2663,The Dark Order,"18100,-1,-1,20547,21780,17436","Anthony Bennett,Bret Waters,Cory Bishop,Eli Isom,Jaden Valo,Mike Law",,,,,,,male
2022-04-27,All Elite Wrestling,TV-Show,Liacouras Center,"Philadelphia, Pennsylvania, USA",AEW Dark: Elevation #61,341850,,,2,,,False,17272,Willow Nightingale,,,22372,Gia Scott,,,,,,,female
2022-04-27,All Elite Wrestling,TV-Show,Liacouras Center,"Philadelphia, Pennsylvania, USA",AEW Dark: Elevation #61,341850,,,2,,,False,5741,Tony Nese,,,13278,Cheeseburger,,,,,,,male
2022-04-27,All Elite Wrestling,TV-Show,Liacouras Center,"Philadelphia, Pennsylvania, USA",AEW Dark: Elevation #61,341850,,,2,,,False,19761,Max Caster,,,20009,Zack Clayton,,,,,,,male
2022-04-27,All Elite Wrestling,TV-Show,Liacouras Center,"Philadelphia, Pennsylvania, USA",AEW Dark: Elevation #61,341850,,,2,,,False,13073,Konosuke Takeshita,,,4331,Rhett Titus,,,,,,,male
2022-04-27,All Elite Wrestling,TV-Show,Liacouras Center,"Philadelphia, Pennsylvania, USA",AEW Dark: Elevation #61,341850,,,2,,,False,24024,Julia Hart,,,23899,Abby Jane,,,,,,,female
2022-04-27,All Elite Wrestling,TV-Show,Liacouras Center,"Philadelphia, Pennsylvania, USA",AEW Dark: Elevation #61,341850,,,2,,,False,23823,Anthony Ogogo,,,-1,Goldy,,,,,,,male
2022-04-27,All Elite Wrestling,TV-Show,Liacouras Center,"Philadelphia, Pennsylvania, USA",AEW Dark: Elevation #61,341850,,,4,,,False,"22619,20328","Anna Jay,Kris Statlander",,,"4629,17025","Emi Sakura,Nyla Rose",,,,,,,female
2022-04-27,All Elite Wrestling,TV-Show,Liacouras Center,"Philadelphia, Pennsylvania, USA",AEW Dark: Elevation #61,341850,12 Man,104.0,12,,,False,"20186,6215,2397,6959,5424,20399","Alan Angels,Alex Reynolds,Evil Uno,John Silver,Stu Grayson,Ten",2663,The Dark Order,"18100,-1,20547,21780,20311,17436","Anthony Bennett,Brett Waters,Eli Isom,Jaden Valo,Kori Meshaw,Mike Law",,,,,,,male
