id,name,rating,name_of_the_event,date,promotion,type,location,arena,broadcast_type,broadcast_date,tv_station/network,commentary_by,attendance,tv_rating
9597,WWE Friday Night SmackDown #383,,WWE Friday Night SmackDown #383,12.12.2006,World Wrestling Entertainment,TV-Show,"Boston, Massachusetts, USA",FleetCenter,Taped,15.12.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.6
9392,WWE Friday Night SmackDown #382,,WWE Friday Night SmackDown #382,02.12.2006,World Wrestling Entertainment,TV-Show,"Florence, South Carolina, USA",Civic Center,Taped,08.12.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.6
9301,WWE Friday Night SmackDown #381,6.33,WWE Friday Night SmackDown #381,28.11.2006,World Wrestling Entertainment,TV-Show,"Buffalo, New York, USA",HSBC Arena,Taped,01.12.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.8
9138,WWE Friday Night SmackDown #380,,WWE Friday Night SmackDown #380,21.11.2006,World Wrestling Entertainment,TV-Show,"Long Island, New York, USA",Nassau Coliseum,Taped,24.11.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.5
9013,WWE Friday Night SmackDown #379,,WWE Friday Night SmackDown #379,14.11.2006,World Wrestling Entertainment,TV-Show,"Manchester, England, UK",Manchester Evening News Arena,Taped,17.11.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.6
8819,WWE Friday Night SmackDown #378,,WWE Friday Night SmackDown #378,06.11.2006,World Wrestling Entertainment,TV-Show,"Columbus, Ohio, USA",Nationwide Arena,Taped,10.11.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.7
8719,WWE Friday Night SmackDown #377,,WWE Friday Night SmackDown #377,29.10.2006,World Wrestling Entertainment,TV-Show,"Milwaukee, Wisconsin, USA",Bradley Center,Taped,03.11.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.7
8657,WWE Friday Night SmackDown #376,,WWE Friday Night SmackDown #376,24.10.2006,World Wrestling Entertainment,TV-Show,"St. Louis, Missouri, USA",Sawis Center,Taped,27.10.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.8
8564,WWE Friday Night SmackDown #375,,WWE Friday Night SmackDown #375,15.10.2006,World Wrestling Entertainment,TV-Show,"Los Angeles, California, USA",Staples Center,Taped,20.10.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.8
8510,WWE Friday Night SmackDown #374,,WWE Friday Night SmackDown #374,10.10.2006,World Wrestling Entertainment,TV-Show,"Jacksonville, Florida, USA",Veterans Memorial Arena,Taped,13.10.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.3
8390,WWE Friday Night SmackDown #373,,WWE Friday Night SmackDown #373,03.10.2006,World Wrestling Entertainment,TV-Show,"Wichita, Kansas, USA",Kansas Coliseum,Taped,06.10.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.4
8293,WWE Friday Night SmackDown #372,,WWE Friday Night SmackDown #372,26.09.2006,World Wrestling Entertainment,TV-Show,"Tulsa, Oklahoma, USA",Tulsa Convention Center,Taped,29.09.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.5
8195,WWE Friday Night SmackDown #371,,WWE Friday Night SmackDown #371,18.09.2006,World Wrestling Entertainment,TV-Show,"Montreal, Quebec, Canada",Bell Centre,Taped,22.09.2006,The CW,Michael Cole & John Bradshaw Layfield,,2.4
7982,WWE Friday Night SmackDown #370,,WWE Friday Night SmackDown #370,12.09.2006,World Wrestling Entertainment,TV-Show,"Worcester, Massachusetts, USA",DCU Center,Taped,15.09.2006,UPN,Michael Cole & John Bradshaw Layfield,,1.0
7779,WWE Friday Night SmackDown #369,,WWE Friday Night SmackDown #369,05.09.2006,World Wrestling Entertainment,TV-Show,"Columbus, Georgia, USA",Columbus Civic Center,Taped,08.09.2006,UPN,Michael Cole & John Bradshaw Layfield,,1.0
7698,WWE Friday Night SmackDown #368,,WWE Friday Night SmackDown #368,29.08.2006,World Wrestling Entertainment,TV-Show,"Reading, Pennsylvania, USA",Sovereign Center,Taped,01.09.2006,UPN,Michael Cole & John Bradshaw Layfield,,1.9
7610,WWE Friday Night SmackDown #367,,WWE Friday Night SmackDown #367,22.08.2006,World Wrestling Entertainment,TV-Show,"Wilkes-Barre, Pennsylvania, USA",Wachovia Arena,Taped,25.08.2006,UPN,Michael Cole & John Bradshaw Layfield,,2.1
7553,WWE Friday Night SmackDown #366,5.83,WWE Friday Night SmackDown #366,15.08.2006,World Wrestling Entertainment,TV-Show,"Washington, District Of Columbia, USA",MCI Center,Taped,18.08.2006,UPN,Michael Cole & John Bradshaw Layfield,,2.1
7431,WWE Friday Night SmackDown #365,,WWE Friday Night SmackDown #365,08.08.2006,World Wrestling Entertainment,TV-Show,"Nashville, Tennessee, USA",Gaylord Entertainment Center,Taped,11.08.2006,UPN,Michael Cole & John Bradshaw Layfield,,2.1
7364,WWE Friday Night SmackDown #364,,WWE Friday Night SmackDown #364,31.07.2006,World Wrestling Entertainment,TV-Show,"East Rutherford, New Jersey, USA",Izod Center,Taped,04.08.2006,UPN,Michael Cole & John Bradshaw Layfield,17.401,2.2
7281,WWE Friday Night SmackDown #363,,WWE Friday Night SmackDown #363,25.07.2006,World Wrestling Entertainment,TV-Show,"Detroit, Michigan, USA",Joe Louis Arena,Taped,28.07.2006,UPN,Michael Cole & John Bradshaw Layfield,,2.2
